,player,pts,ast,trb,stl,blk,g,3pta,3ptm,fga,fgm,ppg,apg,rpg,spg,bpg,3pt%,fg%,first year,last year,years played,all stars,hof,ows,dws,ws,win%
0,A.C. Green,12928,1469,10129.0,1103.0,562.0,1361,509.0,125.0,9686,4778,9.5,1.1,7.4,0.8,0.4,0.25,0.49,1986,2001,16,1,False,60.7,43.5,104.2,0.6
1,A.J. Bramlett,8,0,22.0,1.0,0.0,8,0.0,0.0,21,4,1.0,0.0,2.8,0.1,0.0,0.0,0.19,2000,2000,1,0,False,-0.2,0.1,-0.2,0.4
2,A.J. English,1502,320,315.0,57.0,24.0,151,65.0,9.0,1418,617,9.9,2.1,2.1,0.4,0.2,0.14,0.44,1991,1992,2,0,False,-0.4,1.4,1.1,0.3
3,A.J. Green,154,22,45.0,6.0,0.0,35,105.0,44.0,125,53,4.4,0.6,1.3,0.2,0.0,0.42,0.42,2023,2023,1,0,False,0.5,0.3,0.8,0.7
4,A.J. Guyton,442,147,80.0,20.0,12.0,80,193.0,73.0,440,166,5.5,1.8,1.0,0.2,0.2,0.38,0.38,2001,2003,3,0,False,0.30000000000000004,-0.1,0.3,0.3
5,A.J. Hammons,48,4,36.0,1.0,13.0,22,10.0,5.0,42,17,2.2,0.2,1.6,0.0,0.6,0.5,0.4,2017,2017,1,0,False,-0.2,0.2,0.0,0.4
6,A.J. Lawson,112,4,42.0,4.0,0.0,30,50.0,20.0,88,44,3.7,0.1,1.4,0.1,0.0,0.4,0.5,2023,2023,1,0,False,0.2,0.2,0.2,0.3
7,A.J. Price,1656,613,409.0,132.0,9.0,287,747.0,233.0,1581,600,5.8,2.1,1.4,0.5,0.0,0.31,0.38,2010,2015,6,0,False,1.0999999999999999,3.7,5.0,0.4
8,A.J. Wynder,12,8,3.0,1.0,0.0,6,1.0,0.0,12,3,2.0,1.3,0.5,0.2,0.0,0.0,0.25,1991,1991,1,0,False,-0.1,0.0,0.0,0.7
9,A.W. Holt,4,0,4.0,0.0,0.0,6,0.0,0.0,8,1,0.7,0.0,0.7,0.0,0.0,0.0,0.12,1971,1971,1,0,False,-0.1,0.0,-0.1,0.7
10,AJ Griffin,639,73,153.0,42.0,12.0,72,259.0,101.0,533,248,8.9,1.0,2.1,0.6,0.2,0.39,0.47,2023,2023,1,0,False,1.3,0.9,2.2,0.5
11,Aaron Brooks,7914,2505,1377.0,475.0,113.0,829,2836.0,1036.0,6962,2857,9.5,3.0,1.7,0.6,0.1,0.37,0.41,2008,2018,11,0,False,13.2,10.0,23.3,0.4
12,Aaron Gordon,8614,1677,4040.0,476.0,420.0,646,2168.0,706.0,6923,3265,13.3,2.6,6.3,0.7,0.7,0.33,0.47,2015,2023,9,0,False,18.8,18.8,37.6,0.4
13,Aaron Gray,1235,251,1407.0,113.0,106.0,387,4.0,0.0,1007,509,3.2,0.6,3.6,0.3,0.3,0.0,0.51,2008,2014,7,0,False,1.7,5.7,7.1,0.4
14,Aaron Harrison,79,16,42.0,15.0,2.0,35,55.0,12.0,92,24,2.3,0.5,1.2,0.4,0.1,0.22,0.26,2016,2018,3,0,False,-0.6,0.30000000000000004,-0.2,0.5
15,Aaron Henry,2,0,1.0,0.0,2.0,6,1.0,0.0,5,1,0.3,0.0,0.2,0.0,0.3,0.0,0.2,2022,2022,1,0,False,-0.1,0.0,-0.1,0.7
16,Aaron Holiday,2443,830,630.0,243.0,72.0,371,824.0,311.0,2157,902,6.6,2.2,1.7,0.7,0.2,0.38,0.42,2019,2023,5,0,False,1.2000000000000002,5.7,7.0,0.5
17,Aaron Jackson,8,1,3.0,0.0,0.0,1,4.0,1.0,9,3,8.0,1.0,3.0,0.0,0.0,0.25,0.33,2018,2018,1,0,False,0.0,0.0,0.0,1.0
18,Aaron James,3829,370,1470.0,158.0,69.0,356,0.0,0.0,3347,1609,10.8,1.0,4.1,0.4,0.2,0.0,0.48,1975,1979,5,0,False,7.800000000000001,5.3,13.2,0.4
